County_State	County_Name	Non-Commercial -Civil Public Use Airports and Seaplane base	Non-Commercial -Other Aerodromes	Number of Bridges	Number of business establishments	Number of resident workers who commute to work in other countie	Number of resident workers who commute within county	Number of resident workers who work at home	Number of resident workers	Number of residents	Number of workers from other counties who commute to work in th	Pct of Medium to Fair Condition Bridges	Pct of Poor Condition Bridges	Percent of resident workers who commute by transit	Primary and Commercial Airports	Route miles of freight railroad	Route miles of passenger railroad and rail transit	State_Name	Total Docks	Total Marinas
Haakon County, South Dakota	Haakon County	1	0	69	86	100	850	185	955	2075	100	0.898550725	0.101449275	0	0	38.1	0	South Dakota		
Hamlin County, South Dakota	Hamlin County	0	1	58	187	1204	1610	215	2855	5995	1250	0.793103448	0.206896552	0	0	11.7	0	South Dakota		
Hand County, South Dakota	Hand County	1	1	125	132	243	1445	210	1690	3310	247	0.728	0.272	0.00591716	0	30.5	0	South Dakota		
Hanson County, South Dakota	Hanson County			61	77	1058	650	160	1695	3390	1062	0.885245902	0.114754098	0.002359882		19.7	0	South Dakota		
Harding County, South Dakota	Harding County	2	3	49	43	0	615	215	645	1275	33	0.918367347	0.081632653	0	0			South Dakota		
Hughes County, South Dakota	Hughes County	1	0	41	680	886	8445	275	9475	17520	1019	0.780487805	0.219512195	0.006860158	1	51.4	0	South Dakota		
Hutchinson County, South Dakota	Hutchinson County	1	1	152	232	902	2720	405	3645	7265	928	0.828947368	0.171052632	0	0	29.9	0	South Dakota		
Hyde County, South Dakota	Hyde County	1	1	23	44	100	640	120	745	1440	115	0.695652174	0.304347826	0.013422819	0	17.9	0	South Dakota		
Jackson County, South Dakota	Jackson County	1	4	94	52	161	1005	200	1165	3270	161	0.840425532	0.159574468	0.017167382	0	13.4	0	South Dakota		
Jerauld County, South Dakota	Jerauld County	1	0	33	85	166	795	95	980	2030	180	0.787878788	0.212121212	0.004081633	0	4.5	0	South Dakota		
Jones County, South Dakota	Jones County	1	1	36	50	59	390	55	460	765	67	0.805555556	0.194444444	0	0	15.6	0	South Dakota		
Kingsbury County, South Dakota	Kingsbury County	2	3	35	160	924	1605	255	2575	5070	975	0.714285714	0.285714286	0.001553398	0	47.1	0	South Dakota		
Lake County, South Dakota	Lake County	1	2	79	361	1234	4920	595	6230	12330	1315	0.835443038	0.164556962	0.002407705	0	19.1	0	South Dakota		
Lawrence County, South Dakota	Lawrence County	1	4	129	1052	1879	10120	595	12580	24860	2474	0.945736434	0.054263566	0.002782194	0	16.7	0	South Dakota		
Lincoln County, South Dakota	Lincoln County	2	2	199	1674	18488	8780	1020	28370	51395	19615	0.748743719	0.251256281	0.000493479	0	42.4	0	South Dakota		
Lyman County, South Dakota	Lyman County	1	2	115	76	416	1295	130	1705	3855	420	0.895652174	0.104347826	0.005865103	0			South Dakota		
Marshall County, South Dakota	Marshall County	1	0	37	146	386	1910	200	2460	4745	561	0.702702703	0.297297297	0	0	27.7	0	South Dakota		
McCook County, South Dakota	McCook County	0	1	98	192	1321	1445	260	2790	5615	1368	0.857142857	0.142857143	0.007168459	0	12.1	0	South Dakota		
McPherson County, South Dakota	McPherson County	1	0	14	74	173	835	135	1020	2250	191	0.928571429	0.071428571	0.003921569	0			South Dakota		
Meade County, South Dakota	Meade County	2	8	215	707	8212	5675	1015	14195	26840	8509	0.851162791	0.148837209	0.002465657	0	24.9	0	South Dakota		
Mellette County, South Dakota	Mellette County	1	0	28	20	249	480	155	735	2085	253	0.892857143	0.107142857	0.005442177	0			South Dakota		
Miner County, South Dakota	Miner County	1	0	62	82	356	720	110	1075	2300	370	0.629032258	0.370967742	0.00372093	0			South Dakota		
Minnehaha County, South Dakota	Minnehaha County	0	7	388	5706	8694	88605	3285	99225	182015	10581	0.904639175	0.095360825	0.008717561	1	93.9	0	South Dakota		
Moody County, South Dakota	Moody County	1	1	90	159	1321	1905	250	3330	6445	1431	0.755555556	0.244444444	0	0			South Dakota		
Oglala Lakota County, South Dakota	Oglala Lakota County	1	0		70	119	2910	145	3085	14265	174			0.012965964	0			South Dakota		
Pennington County, South Dakota	Pennington County	1	5	347	3858	2504	50170	2080	53545	107300	3354	0.893371758	0.106628242	0.002894761	1	105.4	9.7	South Dakota		
Perkins County, South Dakota	Perkins County	2	1	60	135	83	1255	310	1460	3020	210	0.916666667	0.083333333	0.002739726	0	4.2	0	South Dakota		
Potter County, South Dakota	Potter County	1	0	25	98	148	975	105	1135	2305	160	0.96	0.04	0	0			South Dakota		
Roberts County, South Dakota	Roberts County	1	2	158	235	546	3305	305	4345	10295	1040	0.746835443	0.253164557	0.008055236	0	54.2	0	South Dakota		
Sanborn County, South Dakota	Sanborn County	0	1	59	55	602	665	175	1265	2350	602	0.728813559	0.271186441	0	0	23	0	South Dakota		
Spink County, South Dakota	Spink County	1	2	177	188	521	2655	370	3205	6540	556	0.807909605	0.192090395	0	0	69.7	0	South Dakota		
Stanley County, South Dakota	Stanley County	0	2	36	119	1099	550	110	1650	2965	1103	0.861111111	0.138888889	0.002424242	0	29.1	0	South Dakota		
Sully County, South Dakota	Sully County	1	0	29	60	137	605	115	745	1455	145	0.75862069	0.24137931	0.020134228	0	10.7	0	South Dakota		
Todd County, South Dakota	Todd County	1	1	24	54	105	2450	315	2790	10020	348	0.75	0.25	0.010752688	0			South Dakota		
Tripp County, South Dakota	Tripp County	1	0	89	199	305	2555	260	2865	5475	315	0.730337079	0.269662921	0.012216405	0			South Dakota		
Turner County, South Dakota	Turner County	0	3	137	255	2184	1965	275	4195	8290	2256	0.744525547	0.255474453	0.000953516	0	26.4	0	South Dakota		
Union County, South Dakota	Union County	0	2	172	510	1104	3600	350	7655	14840	4053	0.86627907	0.13372093	0.000522534	0	44.8	0	South Dakota		
Walworth County, South Dakota	Walworth County	2	2	34	221	371	2160	100	2635	5540	489	0.970588235	0.029411765	0.026565465	0	41.1	0	South Dakota		
Yankton County, South Dakota	Yankton County	1	0	103	752	878	10245	490	11460	22650	1223	0.796116505	0.203883495	0.006980803	0	31.2	0	South Dakota		
Ziebach County, South Dakota	Ziebach County	1	2	30	43	378	565	210	945	2820	382	0.933333333	0.066666667	0.004232804	0			South Dakota		
Anderson County, Tennessee	Anderson County	0	3	174	1575	10843	19870	1015	31135	75545	11238	0.965517241	0.034482759	0	0	78.8	0	Tennessee	1	0
Bedford County, Tennessee	Bedford County	1	6	290	788	7110	13275	735	20495	46330	7223	0.965517241	0.034482759	0.001707734	0	26	0	Tennessee		
Benton County, Tennessee	Benton County	1	2	150	302	2164	3435	115	5755	16175	2300	0.96	0.04	0.001390096	0	12.7	0	Tennessee	0	0
Bledsoe County, Tennessee	Bledsoe County	0	2	84	103	2479	2190	255	4800	14075	2604	0.964285714	0.035714286	0.000833333	0			Tennessee		
Blount County, Tennessee	Blount County	0	5	196	2357	21017	35050	2180	56730	126190	21654	0.959183673	0.040816327	0.002027146	1	30.6	0	Tennessee	0	0
Bradley County, Tennessee	Bradley County	1	1	199	1920	10088	32325	1820	43895	102860	11542	0.969849246	0.030150754	0.002164256	0	34.4	0	Tennessee		
Campbell County, Tennessee	Campbell County	1	2	132	593	4724	8915	265	14290	40010	5359	0.893939394	0.106060606	0.00139958	0	78.3	0	Tennessee		
Cannon County, Tennessee	Cannon County	0	2	158	211	3898	1845	215	5755	13855	3916	0.905063291	0.094936709	0.000695048	0			Tennessee		
Carroll County, Tennessee	Carroll County	1	3	244	427	4961	5755	310	10880	28415	5138	0.967213115	0.032786885	0.000919118	0	49.2	0	Tennessee		
Carter County, Tennessee	Carter County	1	0	195	709	11839	9815	1060	22595	56705	12771	0.825641026	0.174358974	0.002655455	0	4.9	0	Tennessee		
Cheatham County, Tennessee	Cheatham County	0	3	127	625	12512	5885	875	18555	39575	12672	0.94488189	0.05511811	0.004257613	0	10.6	0	Tennessee	0	0
Chester County, Tennessee	Chester County			127	242	3355	3800	260	7245	17355	3443	0.968503937	0.031496063	0.002070393		9.5	0	Tennessee		
Claiborne County, Tennessee	Claiborne County	1	0	95	438	2063	7185	380	11250	31700	4061	0.936842105	0.063157895	0.000888889	0	31.9	0	Tennessee		
Clay County, Tennessee	Clay County	0	1	64	115	798	1580	105	2515	7770	937	0.953125	0.046875	0.001590457	0			Tennessee		
Cocke County, Tennessee	Cocke County	0	3	187	486	5999	7650	255	13715	35255	6053	0.893048128	0.106951872	0	0	31.2	0	Tennessee		
Coffee County, Tennessee	Coffee County	1	4	215	1251	6679	15340	710	22115	53810	6776	0.962790698	0.037209302	0.000180873	0	36.2	0	Tennessee		
Crockett County, Tennessee	Crockett County			163	224	3008	2625	145	5715	14560	3093	0.981595092	0.018404908	0		11.9	0	Tennessee		
Cumberland County, Tennessee	Cumberland County	2	3	136	1062	3123	16565	680	19945	57895	3375	0.948529412	0.051470588	0.001253447	0	10.5	0	Tennessee		
Davidson County, Tennessee	Davidson County	1	13	801	19881	59266	281450	17440	344575	667885	62814	0.962546816	0.037453184	0.021809475	1	128	13.4	Tennessee	7	0
Decatur County, Tennessee	Decatur County			105	216	1832	2585	185	4555	11705	1987	0.971428571	0.028571429	0.003293085				Tennessee	1	0
DeKalb County, Tennessee	DeKalb County	1	2	100	292	2895	4505	135	7490	19160	2989	0.98	0.02	0.000534045	0			Tennessee		
Dickson County, Tennessee	Dickson County	1	3	240	987	9368	12195	645	21810	50925	9624	0.945833333	0.054166667	0.006648326	0	32.2	0	Tennessee		
Dyer County, Tennessee	Dyer County	1	2	239	791	2368	12415	325	15830	37970	3408	0.941422594	0.058577406	0.000252685	0	41.3	23.6	Tennessee	1	0
Fayette County, Tennessee	Fayette County	1	6	335	597	11483	5055	680	17000	39070	11957	0.913432836	0.086567164	0.000235294	0	38.6	0	Tennessee		
Fentress County, Tennessee	Fentress County	1	0	56	264	1600	4560	295	6250	17935	1675	0.857142857	0.142857143	0.0016	0			Tennessee		
Franklin County, Tennessee	Franklin County	2	6	154	705	5598	10695	445	16820	41350	6122	0.987012987	0.012987013	0	0	32.5	0	Tennessee		
Gibson County, Tennessee	Gibson County	2	2	396	928	9504	10605	415	20305	49510	9706	0.906565657	0.093434343	0.000738734	0	74.3	0	Tennessee		
Giles County, Tennessee	Giles County	1	1	321	545	2639	7700	305	11680	29035	3986	0.975077882	0.024922118	0.002996575	0	37.9	0	Tennessee		
Grainger County, Tennessee	Grainger County	0	2	87	234	5869	2575	230	8590	22815	6022	0.908045977	0.091954023	0.006402794	0	15.5	0	Tennessee		
Greene County, Tennessee	Greene County	1	4	308	1124	4849	21800	690	27085	68500	5289	0.970779221	0.029220779	0.000295366	0	30.8	0	Tennessee		
Grundy County, Tennessee	Grundy County	0	2	85	149	2201	2065	255	4310	13495	2256	0.988235294	0.011764706	0	0			Tennessee		
Hamblen County, Tennessee	Hamblen County	1	1	119	1314	5720	18970	515	24935	63205	5972	0.983193277	0.016806723	0.001403649	0	40.9	0	Tennessee		
Hamilton County, Tennessee	Hamilton County	1	5	457	9032	6600	148660	7315	161810	351305	13050	0.95404814	0.04595186	0.010722452	1	144.8	2.8	Tennessee	9	0
Hancock County, Tennessee	Hancock County	0	1	61	54	894	1055	85	2055	6610	998	0.967213115	0.032786885	0.01946472	0			Tennessee		
Hardeman County, Tennessee	Hardeman County	1	4	224	335	2764	4980	440	8090	25975	3106	0.977678571	0.022321429	0.001236094	0	25	0	Tennessee		
Hardin County, Tennessee	Hardin County	1	3	189	497	1891	6785	575	9675	25840	2889	0.931216931	0.068783069	0.001550388	0	5.2	0	Tennessee	0	0
Hawkins County, Tennessee	Hawkins County	1	4	186	615	10704	9530	425	20840	56565	11312	0.924731183	0.075268817	0.005038388	0	54.6	0	Tennessee		
Haywood County, Tennessee	Haywood County	0	1	240	311	3392	4000	165	7420	18130	3417	0.954166667	0.045833333	0	0	28.9	0	Tennessee		
Henderson County, Tennessee	Henderson County	1	0	204	504	4305	6655	400	11075	27950	4419	0.990196078	0.009803922	0.001805869	0			Tennessee		
Henry County, Tennessee	Henry County	1	6	186	699	1638	9450	490	12645	32290	3155	0.946236559	0.053763441	0.000316331	0	38.4	0	Tennessee	0	0
Hickman County, Tennessee	Hickman County	1	3	330	281	5761	3440	335	9400	24250	5933	0.927272727	0.072727273	0.003191489	0	35.2	0	Tennessee		
Houston County, Tennessee	Houston County	1	0	118	104	1472	1380	15	2930	8235	1555	0.949152542	0.050847458	0.003412969	0			Tennessee		
Humphreys County, Tennessee	Humphreys County	1	2	248	324	2523	4260	90	6875	18215	2614	0.931451613	0.068548387	0.000581818	0	32.8	0	Tennessee	4	0
Jackson County, Tennessee	Jackson County	1	0	130	102	2507	1250	85	3760	11525	2511	0.992307692	0.007692308	0	0			Tennessee		
Jefferson County, Tennessee	Jefferson County	0	2	122	704	12682	9480	925	22550	52850	13058	0.868852459	0.131147541	0.001995565	0	23.6	0	Tennessee		
Johnson County, Tennessee	Johnson County	1	1	111	237	439	3730	355	5615	17925	1881	0.954954955	0.045045045	0.010685663	0			Tennessee		
Knox County, Tennessee	Knox County	1	9	571	11562	32376	179870	9790	214675	448165	34720	0.980735552	0.019264448	0.008310236	0	124.7	5.5	Tennessee	2	0
Lake County, Tennessee	Lake County	1	0	30	72	467	1200	45	1735	7645	540	0.9	0.1	0	0	24.3	0	Tennessee	1	0
Lauderdale County, Tennessee	Lauderdale County	1	2	266	295	2888	5860	75	8845	27260	2982	0.936090226	0.063909774	0.006218202	0	26	26	Tennessee	1	0
Lawrence County, Tennessee	Lawrence County	1	1	211	734	4452	10280	465	15955	42405	5666	0.985781991	0.014218009	0.001880288	0	41.1	0	Tennessee	0	0
Lewis County, Tennessee	Lewis County	1	1	134	214	1803	2865	205	4780	11905	1902	0.970149254	0.029850746	0.007322176	0	11	0	Tennessee		
Lincoln County, Tennessee	Lincoln County	1	1	301	578	2329	8015	350	13565	33580	5534	0.973421927	0.026578073	0.00258017	0	6.2	0	Tennessee		
Loudon County, Tennessee	Loudon County	0	8	113	949	10066	9080	865	19390	50635	10307	0.96460177	0.03539823	0.001753481	0	26.4	0	Tennessee	1	0
Macon County, Tennessee	Macon County	1	0	168	313	4275	4780	165	9315	22925	4537	0.982142857	0.017857143	0	0			Tennessee		
Madison County, Tennessee	Madison County	0	3	423	2526	4325	37220	1390	42125	98130	4886	0.95035461	0.04964539	0.006765579	1	64.9	0	Tennessee		
Marion County, Tennessee	Marion County	1	3	173	431	4920	5815	485	11475	28365	5648	0.98265896	0.01734104	0.00087146	0	19.4	0	Tennessee	1	0
Marshall County, Tennessee	Marshall County	1	3	239	491	5835	7320	280	13290	31335	5978	0.9958159	0.0041841	0.001053424	0	28.9	0	Tennessee		
Maury County, Tennessee	Maury County	1	6	421	1789	15189	22655	1310	38445	85765	15797	0.923990499	0.076009501	0.004682013	0	57.9	0	Tennessee		
McMinn County, Tennessee	McMinn County	1	3	219	908	6285	13510	735	20130	52605	6615	0.99086758	0.00913242	0.003725782	0	57.1	0	Tennessee	0	0
McNairy County, Tennessee	McNairy County	1	0	219	406	2738	4815	435	8925	26055	4119	0.98630137	0.01369863	0.003361345	0	42.2	0	Tennessee		
Meigs County, Tennessee	Meigs County	0	1	73	105	2720	1145	70	3880	11805	2738	0.917808219	0.082191781	0.00257732	0			Tennessee		
Monroe County, Tennessee	Monroe County	2	5	143	720	5758	10165	305	16225	45480	6042	0.923076923	0.076923077	0.002465331	0	27.1	0	Tennessee		
Montgomery County, Tennessee	Montgomery County	1	7	187	2892	9723	52410	2070	85550	189710	32841	0.909090909	0.090909091	0.009234366	0	40.2	0	Tennessee		
Moore County, Tennessee	Moore County			68	69	1749	1030	95	2835	6315	1803	0.970588235	0.029411765	0				Tennessee		
Morgan County, Tennessee	Morgan County			115	159	4261	2240	100	6725	21690	4494	0.895652174	0.104347826	0		30.1	0	Tennessee		
Obion County, Tennessee	Obion County	1	1	366	638	2614	8455	320	12180	30900	3700	0.969945355	0.030054645	0.002873563	0	43.5	27.8	Tennessee		
Overton County, Tennessee	Overton County	1	1	78	321	4066	4550	250	8680	22090	4127	0.961538462	0.038461538	0.003456221	0			Tennessee		
Perry County, Tennessee	Perry County	1	1	153	110	769	1780	190	2665	7890	892	0.973856209	0.026143791	0.001500938	0			Tennessee		
Pickett County, Tennessee	Pickett County			27	83	575	1150	80	1895	5095	748	1	0	0				Tennessee		
Polk County, Tennessee	Polk County	1	2	135	223	3112	2120	190	6350	16695	4250	0.940740741	0.059259259	0.000629921	0	72.5	0	Tennessee		
Putnam County, Tennessee	Putnam County	0	4	166	1825	4340	26605	775	31185	74650	4559	1	0	0.000801667	0	39.3	0	Tennessee		
Rhea County, Tennessee	Rhea County	1	1	98	500	3013	9935	380	13165	32460	3227	0.989795918	0.010204082	0.000303836	0	40.1	0	Tennessee	1	0
Roane County, Tennessee	Roane County	0	3	158	733	9887	10310	690	20495	52985	10176	0.962025316	0.037974684	0.00019517	0	65.5	0	Tennessee	1	0
Robertson County, Tennessee	Robertson County	1	4	204	1178	16048	14345	1305	31455	67905	17093	0.965686275	0.034313725	0.002225401	0	25.9	0	Tennessee		
Rutherford County, Tennessee	Rutherford County	2	10	425	5319	46774	97195	4945	145140	290290	47918	0.952941176	0.047058824	0.00344495	0	35.8	0	Tennessee		
Scott County, Tennessee	Scott County	1	0	111	329	1803	5570	215	7600	22030	2050	0.90990991	0.09009009	0	0	68.3	0	Tennessee		
Sequatchie County, Tennessee	Sequatchie County	0	1	66	184	3088	2455	200	5675	14710	3212	1	0	0.002643172	0			Tennessee		
Sevier County, Tennessee	Sevier County	1	6	271	2798	9640	34060	2290	44170	94535	10104	0.970479705	0.029520295	0.003712927	0			Tennessee		
Shelby County, Tennessee	Shelby County	3	20	1076	19541	4095	395765	12270	420645	936990	24781	0.961895911	0.038104089	0.014596631	1	171.2	32.1	Tennessee	16	0
Smith County, Tennessee	Smith County			202	278	3693	4355	210	8135	19175	3784	0.95049505	0.04950495	0		23	0	Tennessee		
Stewart County, Tennessee	Stewart County	0	1	161	162	1906	2230	125	4815	13255	2582	0.98136646	0.01863354	0.004776739	0	2.2	0	Tennessee		
Sullivan County, Tennessee	Sullivan County	0	9	367	3362	10838	45610	1965	64980	156645	19363	0.970027248	0.029972752	0.002062173	1	40.2	0	Tennessee		
Sumner County, Tennessee	Sumner County	2	2	388	3228	37050	43540	4070	83075	172785	39484	0.994845361	0.005154639	0.004802889	0	44.3	0	Tennessee		
Tipton County, Tennessee	Tipton County	1	5	202	696	16319	10185	645	26990	61560	16817	0.975247525	0.024752475	0.003334568	0	26.4	22	Tennessee	3	0
Trousdale County, Tennessee	Trousdale County			87	115	2150	1275	160	3465	7970	2195	0.977011494	0.022988506	0.001154401				Tennessee		
Unicoi County, Tennessee	Unicoi County			161	242	2828	3670	345	6635	17945	2969	0.962732919	0.037267081	0.006782216		16.3	0	Tennessee		
Union County, Tennessee	Union County	0	2	59	199	4308	2295	300	6715	19080	4427	0.915254237	0.084745763	0.000595681	0	7.2	0	Tennessee		
Van Buren County, Tennessee	Van Buren County	0	1	37	40	1187	895	125	2125	5640	1222	1	0	0.006588235	0			Tennessee		
Warren County, Tennessee	Warren County	1	1	160	727	3940	12305	655	16435	40100	4122	0.975	0.025	0.000243383	0	25.1	0	Tennessee		
Washington County, Tennessee	Washington County	0	10	282	2903	14469	41250	2305	57340	126045	16087	0.946808511	0.053191489	0.004865713	0	47.3	0	Tennessee		
Wayne County, Tennessee	Wayne County	1	1	270	213	1112	3865	125	5970	16840	2114	0.962962963	0.037037037	0	0	0.1	0	Tennessee		
Weakley County, Tennessee	Weakley County	0	1	351	569	3776	9515	175	13880	34025	4364	0.971509972	0.028490028	0.001440922	0	33	0	Tennessee		
White County, Tennessee	White County	1	1	70	411	3941	5385	220	9425	26375	4030	0.957142857	0.042857143	0	0	12.9	0	Tennessee		
Williamson County, Tennessee	Williamson County			501	7118	37753	60155	8825	100255	205645	40037	0.974051896	0.025948104	0.003491098		45.4	0	Tennessee		
Wilson County, Tennessee	Wilson County	1	5	383	2733	31295	28105	3085	60090	125615	31946	0.976501305	0.023498695	0.008820103	0	36.5	17.9	Tennessee		
Anderson County, Texas	Anderson County	2	7	168	899	3353	15810	485	19240	57770	3404	0.994047619	0.005952381	0.002079002	0	65.1	14.5	Texas		
Andrews County, Texas	Andrews County	1	0	1	405	1405	6275	170	7850	17215	1580	1	0	0	0	3.8	0	Texas		
Angelina County, Texas	Angelina County	1	6	175	1875	3741	30640	620	34745	87655	4060	0.982857143	0.017142857	0.00129515	0	47.9	0	Texas		
Aransas County, Texas	Aransas County	1	2	20	529	3082	6185	490	9355	24730	3155	1	0	0	0	3	0	Texas	6	0
Archer County, Texas	Archer County	0	3	125	213	2934	1230	200	4260	8750	3032	0.976	0.024	0.002347418	0			Texas		
Armstrong County, Texas	Armstrong County	0	2	12	44	553	355	55	915	1915	561	0.916666667	0.083333333	0	0	32	0	Texas		
Atascosa County, Texas	Atascosa County	1	6	176	811	8778	10575	1155	19500	47710	8927	0.988636364	0.011363636	0.001282051	0	55.7	0	Texas		
Austin County, Texas	Austin County	0	13	227	655	6168	6960	825	13280	29105	6317	0.969162996	0.030837004	0.000301205	0	71.7	0	Texas		
Bailey County, Texas	Bailey County	1	3	4	152	789	2165	175	3150	7130	989	1	0	0	0	22.1	0	Texas		
Bandera County, Texas	Bandera County	0	11	67	399	4690	3725	545	8475	21015	4744	1	0	0.001179941	0			Texas		
Bastrop County, Texas	Bastrop County	1	6	237	1355	17518	14255	1335	31925	78285	17641	0.991561181	0.008438819	0.002036022	0	95.4	0	Texas		
Baylor County, Texas	Baylor County	1	0	61	104	169	1245	20	1425	3640	179	0.950819672	0.049180328	0	0			Texas		
Bee County, Texas	Bee County	2	1	131	479	2286	7805	270	10090	32705	2290	0.992366412	0.007633588	0	0			Texas		
Bell County, Texas	Bell County	2	15	630	5186	14608	131435	5025	147490	330860	15604	0.99047619	0.00952381	0.003729066	0	108.1	35.2	Texas		
Bexar County, Texas	Bexar County	1	34	2240	36401	43823	803515	34330	850830	1858700	46754	0.999107143	0.000892857	0.027531939	1	166.6	81.3	Texas		
Blanco County, Texas	Blanco County	0	13	62	315	2050	2535	260	4660	10920	2113	1	0	0	0			Texas		
Borden County, Texas	Borden County			52	9	131	150	15	280	700	131	1	0	0				Texas		
Bosque County, Texas	Bosque County	1	17	143	286	3438	3555	315	7060	17955	3508	0.993006993	0.006993007	0.001416431	0	39	39	Texas		
Bowie County, Texas	Bowie County	0	3	333	2224	1399	28885	910	35975	93485	7089	0.996996997	0.003003003	0.003752606	0	126.4	8.8	Texas		
Brazoria County, Texas	Brazoria County	1	39	602	5667	71721	82915	3860	155870	338420	72780	0.96013289	0.03986711	0.001828447	0	105.1	0	Texas	21	0
Brazos County, Texas	Brazos County	1	7	353	4382	6811	91425	3115	98855	209895	7300	1	0	0.02675636	1	66	0	Texas		
Brewster County, Texas	Brewster County	1	13	113	288	445	3815	225	4260	9190	445	0.991150442	0.008849558	0	0	108.6	80.1	Texas		
Briscoe County, Texas	Briscoe County	1	1	18	36	248	465	60	740	1670	277	1	0	0	0			Texas		
Brooks County, Texas	Brooks County	1	3	52	115	799	1680	70	2475	7215	803	0.961538462	0.038461538	0.001616162	0			Texas		
Brown County, Texas	Brown County	1	1	222	884	1253	13365	330	14780	37935	1420	0.981981982	0.018018018	0.003721245	0	50.1	0	Texas		
Burleson County, Texas	Burleson County	1	4	125	324	4073	3080	170	7180	17415	4108	0.952	0.048	0.001392758	0	70.7	0	Texas		
Burnet County, Texas	Burnet County	2	17	109	1276	6230	12665	1295	18960	44585	6303	1	0	0.001845992	0	44.2	0	Texas		
Caldwell County, Texas	Caldwell County	3	4	199	616	10174	7015	635	17270	39850	10257	0.994974874	0.005025126	0.002026636	0	35.4	10.3	Texas		
Calhoun County, Texas	Calhoun County	1	10	101	443	2057	7405	410	9575	21805	2146	0.97029703	0.02970297	0.004699739	0	26	0	Texas	16	0
Callahan County, Texas	Callahan County	0	4	157	216	3026	1995	205	5050	13595	3040	0.993630573	0.006369427	0.004950495	0	31.2	0	Texas		
Cameron County, Texas	Cameron County	1	13	348	6377	11845	133920	3215	147810	418785	12767	0.997126437	0.002873563	0.006968405	2	114.9	0	Texas	19	1
Camp County, Texas	Camp County	0	2	40	211	2978	2120	170	5160	12630	3046	1	0	0.010658915	0	36.2	0	Texas		
Carson County, Texas	Carson County	1	4	35	134	1655	1145	85	2820	6025	1683	1	0	0.00141844	0	81.8	0	Texas		
Cass County, Texas	Cass County	1	3	145	500	3871	7130	255	11840	30345	4725	1	0	0.002533784	0	63.7	32.9	Texas		
Castro County, Texas	Castro County	1	2	10	160	782	2360	130	3170	7875	816	1	0	0.003154574	0	27.1	0	Texas		
Chambers County, Texas	Chambers County	2	7	138	660	10308	5250	355	15730	38070	10466	0.992753623	0.007246377	0.000254291	0	14.9	0	Texas	2	0
Cherokee County, Texas	Cherokee County	1	7	192	752	6155	13245	355	19620	51255	6375	1	0	0	0	43	13.5	Texas		
Childress County, Texas	Childress County	1	1	91	159	166	2190	4	2455	7060	264	0.978021978	0.021978022	0	0	27.8	0	Texas		
Clay County, Texas	Clay County	0	4	133	142	2865	1530	185	4430	10365	2928	0.977443609	0.022556391	0	0	32.7	0	Texas		
Cochran County, Texas	Cochran County	1	0		46	435	725	20	1180	2955	461			0.003389831	0	0.7	0	Texas		
Coke County, Texas	Coke County			100	59	536	920	75	1465	3230	548	1	0	0				Texas		
Coleman County, Texas	Coleman County	1	2	148	205	1060	2190	90	3315	8475	1127	0.993243243	0.006756757	0.001206637	0	64.2	0	Texas		
Collin County, Texas	Collin County	1	41	930	24118	187542	260160	36735	452345	886635	191851	1	0	0.011108778	0	84.4	3.4	Texas		
Collingsworth County, Texas	Collingsworth County	1	2	65	63	302	975	20	1320	3030	351	0.969230769	0.030769231	0.003030303	0			Texas		
Colorado County, Texas	Colorado County	2	6	245	544	2680	6320	240	9010	20790	2684	0.987755102	0.012244898	0.01054384	0	63.6	37.6	Texas		
Comal County, Texas	Comal County	0	15	212	3667	24615	30675	4240	55915	124235	25133	0.995283019	0.004716981	0.000786909	0	51.9	50.1	Texas		
Comanche County, Texas	Comanche County	1	3	217	241	1838	3365	225	5285	13505	1912	0.963133641	0.036866359	0	0	47.3	0	Texas		
Concho County, Texas	Concho County	0	1	75	47	310	735	60	1050	4140	314	0.986666667	0.013333333	0	0			Texas		
Cooke County, Texas	Cooke County	1	14	279	906	4558	11725	795	17675	38880	5960	0.989247312	0.010752688	0.001131542	0	23.4	21.9	Texas		
Coryell County, Texas	Coryell County	1	5	197	734	17075	13410	1090	30740	75710	17235	0.989847716	0.010152284	0.00325309	0	14.8	0	Texas		
Cottle County, Texas	Cottle County	1	2	81	27	112	520	15	640	1560	122	0.987654321	0.012345679	0	0			Texas		
Crane County, Texas	Crane County	1	1	18	82	692	1280		1985	4825	696	1	0	0.012594458	0	5.2	0	Texas		
Crockett County, Texas	Crockett County	1	1	159	123	254	1490	40	1750	3835	254	0.993710692	0.006289308	0	0	0.5	0	Texas		
Crosby County, Texas	Crosby County	1	1	16	95	1100	1310	35	2425	5985	1114	0.9375	0.0625	0	0			Texas		
Culberson County, Texas	Culberson County	1	2	135	57	163	875	25	1035	2260	163	1	0	0	0	65.6	18.7	Texas		
Dallam County, Texas	Dallam County	0	2	22	211	669	2610	105	3410	7050	798	1	0	0.004398827	0	71.6	0	Texas		
Dallas County, Texas	Dallas County	4	40	3035	66633	198844	992075	49345	1199290	2513055	206671	0.994398682	0.005601318	0.028775359	1	225	85.8	Texas		
Dawson County, Texas	Dawson County	1	3	3	275	822	3835	80	4740	13315	922	1	0	0.002953586	0			Texas		
Deaf Smith County, Texas	Deaf Smith County	1	1	27	394	1215	7115	170	8350	19040	1235	1	0	0.003592814	0	22.2	0	Texas		
