State_Name,County_Name,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable (%),Area (mi^2)
Michigan,Kalamazoo,148,258605,0.939189189,0.060810811,1,97.9,27.7,0.771767308,580.18
Hawaii,Kalawao,1,90,1,0,1,,,0.564047103,52.33
Michigan,Kalkaska,14,17260,0.857142857,0.142857143,0,22.2,0,0.771767308,570.76
Minnesota,Kanabec,80,15920,1,0,0,5.1,0,0.850650597,533.38
West Virginia,Kanawha,557,189635,0.858168761,0.141831239,1,123,40.5,0.694866631,910.99
Minnesota,Kandiyohi,91,42510,0.978021978,0.021978022,0,42.5,0,0.850650597,861.97
Illinois,Kane,314,526615,0.926751592,0.073248408,0,115.9,25.2,0.807663106,524.08
Utah,Kane,29,7215,1,0,0,,,0.783681005,4108.42
Illinois,Kankakee,346,111495,0.942196532,0.057803468,0,110.4,21.1,0.807663106,681.44
Texas,Karnes,169,14985,0.976331361,0.023668639,0,,,0.891372329,753.58
Hawaii,Kauai,82,70445,0.87804878,0.12195122,1,,,0.564047103,1266.37
Texas,Kaufman,141,111830,0.978723404,0.021276596,0,26.4,26.4,0.891372329,806.81
Oklahoma,Kay,410,45400,0.904878049,0.095121951,0,45.6,0,0.629165553,945.12
Nebraska,Kearney,72,6550,0.986111111,0.013888889,0,25.7,25.7,0.899117407,516.13
Kansas,Kearny,74,3945,1,0,0,26.3,26.3,0.883778315,871.5
Nebraska,Keith,92,8105,1,0,0,84.6,0,0.899117407,1109.77
Mississippi,Kemper,214,10130,0.953271028,0.046728972,0,26.6,0,0.731516457,767
Alaska,Kenai Peninsula,86,57635,0.860465116,0.139534884,3,52.9,51.7,0.769478458,24754.6
Illinois,Kendall,127,121450,0.984251969,0.015748031,0,34.6,14.3,0.807663106,322.67
Texas,Kendall,435,39010,0.974712644,0.025287356,0,,,0.891372329,663.04
Texas,Kenedy,103,560,0.980582524,0.019417476,0,46.3,0,0.891372329,1945.6
Maine,Kennebec,186,120955,0.88172043,0.11827957,1,68.9,0,0.776837947,951.18
Wisconsin,Kenosha,100,167895,0.95,0.05,0,56.8,18.8,0.833592818,754.31
Delaware,Kent,198,171475,0.96969697,0.03030303,0,43,0,0.816886856,800.12
Maryland,Kent,43,19820,0.953488372,0.046511628,0,24.2,0,0.880315818,414.31
Michigan,Kent,523,629350,0.975143403,0.024856597,1,92.2,6.5,0.771767308,872.18
Rhode Island,Kent,115,164885,0.843478261,0.156521739,1,8.9,8.9,0.446867996,188.1
Texas,Kent,33,665,1,0,0,,,0.891372329,902.91
Kentucky,Kenton,141,163395,0.95035461,0.04964539,0,56.3,2.4,0.920222177,164.38
Iowa,Keokuk,196,10235,0.821428571,0.178571429,0,9.4,0,0.906330826,579.94
California,Kern,662,871335,0.944108761,0.055891239,1,349.1,41.6,0.58749769,8161.42
Texas,Kerr,172,50505,0.994186047,0.005813953,0,,,0.891372329,1107.66
South Carolina,Kershaw,176,63090,0.857954545,0.142045455,0,36.2,36.2,0.812866638,740.25
Alaska,Ketchikan Gateway,92,13715,0.826086957,0.173913043,1,,,0.769478458,1753.98
Wisconsin,Kewaunee,92,20460,0.891304348,0.108695652,0,2.7,0,0.833592818,1084.52
Michigan,Keweenaw,10,2195,0.9,0.1,,,,0.771767308,5965.96
Nebraska,Keya Paha,22,735,0.863636364,0.136363636,0,,,0.899117407,774.17
North Dakota,Kidder,10,2420,1,0,0,30.3,0,0.933551831,1433.21
Nebraska,Kimball,91,3715,0.978021978,0.021978022,0,36,0,0.899117407,952.31
Texas,Kimble,149,4455,1,0,0,,,0.891372329,1250.92
Virginia,King,36,7140,0.916666667,0.083333333,0,,,0.884284057,913.33
Texas,King,45,275,1,0,0,,,0.891372329,2306.53
Washington,King and Queen,1193,2079550,0.964794635,0.035205365,2,193.3,73.8,0.710608062,326.33
Virginia,King George,30,25260,0.966666667,0.033333333,0,4.7,0,0.884284057,187.79
Virginia,King William,31,16155,0.903225806,0.096774194,0,14.6,0,0.884284057,285.65
Oklahoma,Kingfisher,297,15390,0.878787879,0.121212121,0,31,0,0.629165553,905.96
Kansas,Kingman,392,7695,0.977040816,0.022959184,0,91.2,0,0.883778315,866.7
California,Kings,163,150260,0.963190184,0.036809816,0,54.7,27.1,0.58749769,1391.49
New York,Kings,241,2606850,0.904564315,0.095435685,0,63.3,56,0.746636286,96.9
South Dakota,Kingsbury,35,5070,0.714285714,0.285714286,0,47.1,0,0.857210259,863.67
Texas,Kinney,38,3580,1,0,0,50.9,44.9,0.891372329,1365.31
Colorado,Kiowa,31,1465,0.967741935,0.032258065,0,2.1,0,0.78095535,1785.76
Kansas,Kiowa,90,2520,1,0,0,29.8,0,0.883778315,722.62
Oklahoma,Kiowa,467,9240,0.959314775,0.040685225,0,75.6,10.4,0.629165553,1030.66
Colorado,Kit Carson,134,8175,0.985074627,0.014925373,0,59.7,0,0.78095535,2161.56
Washington,Kitsap,118,257490,0.983050847,0.016949153,0,24.6,0,0.710608062,565.98
Washington,Kittitas,298,42785,0.926174497,0.073825503,0,72.5,0,0.710608062,2333.11
Minnesota,Kittson,159,4435,0.981132075,0.018867925,0,83.7,0,0.850650597,1103.51
Oregon,Klamath,242,65945,0.97107438,0.02892562,0,220.5,126,0.897757095,6135.75
Texas,Kleberg,55,31875,1,0,0,21.2,0,0.891372329,1090.29
Washington,Klickitat,97,20930,0.927835052,0.072164948,0,93.5,92.4,0.710608062,1904.18
Kentucky,Knott,115,15885,0.904347826,0.095652174,,25.2,0,0.920222177,353.01
Illinois,Knox,305,51750,0.875409836,0.124590164,0,115.4,42.4,0.807663106,719.7
Indiana,Knox,285,37955,0.954385965,0.045614035,0,55.9,0,0.92512153,524.06
Kentucky,Knox,127,31740,0.88976378,0.11023622,0,37.3,0,0.920222177,387.71
Maine,Knox,49,39715,0.795918367,0.204081633,1,13.4,0,0.776837947,1142.1
Missouri,Knox,173,3995,0.959537572,0.040462428,0,17.6,17.6,0.753229107,506.77
Nebraska,Knox,330,8550,0.960606061,0.039393939,0,,,0.899117407,1139.65
Ohio,Knox,284,60880,0.897887324,0.102112676,0,11.1,0,0.834323878,529.53
Tennessee,Knox,571,448165,0.980735552,0.019264448,0,124.7,5.5,0.945988112,525.78
Texas,Knox,51,3805,1,0,0,,,0.891372329,855.43
Alaska,Kodiak Island,24,13920,0.958333333,0.041666667,1,,,0.769478458,12023.67
Minnesota,Koochiching,96,12930,0.96875,0.03125,1,27.8,0,0.850650597,3154.32
Idaho,Kootenai,148,147715,0.952702703,0.047297297,0,75.8,23.9,0.968883613,1315.69
Indiana,Kosciusko,151,78460,0.927152318,0.072847682,0,85.4,0,0.92512153,554.34
Iowa,Kossuth,277,15225,0.909747292,0.090252708,0,82.7,0,0.906330826,974.39
Wisconsin,La Crosse,246,117540,0.951219512,0.048780488,1,43.6,20,0.833592818,479.92
Arizona,La Paz,302,20305,0.947019868,0.052980132,0,75.1,0,0.813937707,4513.36
Colorado,La Plata,95,53995,0.989473684,0.010526316,1,32.7,32.7,0.78095535,1699.93
Texas,La Salle,137,7320,1,0,0,43.8,0,0.891372329,662.36
Kansas,La Salle,349,20835,0.945558739,0.054441261,0,59.9,0,0.883778315,1494.23
Minnesota,Labette,172,6915,0.953488372,0.046511628,0,40.6,0,0.850650597,653.3
Pennsylvania,Lac qui Parle,343,213005,0.813411079,0.186588921,0,84.6,41,0.714875343,778.05
Missouri,Lackawanna,119,35505,0.915966387,0.084033613,0,34.9,0,0.753229107,464.51
Arkansas,Laclede,72,7125,0.958333333,0.041666667,,40.9,0,0.796760502,768
Florida,Lafayette,28,8740,0.928571429,0.071428571,0,,,0.882151679,545.07
Mississippi,Lafayette,266,52195,0.921052632,0.078947368,0,12.6,0,0.731516457,547.92
Missouri,Lafayette,246,32790,0.93495935,0.06504065,0,73.6,0,0.753229107,270.29
Wisconsin,Lafayette,218,16795,0.949541284,0.050458716,0,,,0.833592818,679.29
Louisiana,Lafayette,316,234965,0.879746835,0.120253165,1,24.3,20.9,0.743835895,638.86
Louisiana,Lafayette,132,97690,0.818181818,0.181818182,0,37.1,22.6,0.743835895,634.56
Indiana,Lafourche,100,38395,0.99,0.01,0,4.1,0,0.92512153,1472.19
Alaska,LaGrange,6,1410,1,0,1,,,0.769478458,386.72
California,Lake,128,64075,0.890625,0.109375,0,,,0.58749769,1329.48
Colorado,Lake,16,7400,1,0,0,,,0.78095535,383.9
Florida,Lake,93,317585,0.978494624,0.021505376,0,28.7,0,0.882151679,1156.4
Illinois,Lake,251,702890,0.860557769,0.139442231,0,153.6,94.9,0.807663106,1367.95
Indiana,Lake,491,489700,0.930753564,0.069246436,0,276.6,62.8,0.92512153,626.34
Michigan,Lake,28,11415,0.857142857,0.142857143,0,15.2,0,0.771767308,574.6
Minnesota,Lake,86,10720,0.918604651,0.081395349,0,75.2,7.9,0.850650597,2990.82
Montana,Lake,122,29310,0.778688525,0.221311475,0,38.2,0,0.880305656,1653.72
Ohio,Lake,213,229265,0.924882629,0.075117371,0,77.1,28.4,0.834323878,978.87
Oregon,Lake,89,7800,0.943820225,0.056179775,0,15.3,0,0.897757095,8358.47
South Dakota,Lake,79,12330,0.835443038,0.164556962,0,19.1,0,0.857210259,575.06
Tennessee,Lake,30,7645,0.9,0.1,0,24.3,0,0.945988112,193.79
Minnesota,Lake and Peninsula,61,3900,0.967213115,0.032786885,0,24.2,0,0.850650597,30906.96
Alabama,Lake of the Woods,181,14065,0.966850829,0.033149171,0,37.8,0,0.880672042,1775.05
Georgia,Lamar,64,18195,0.90625,0.09375,0,25.1,0,0.967672415,605.47
Mississippi,Lamar,159,59625,1,0,0,24.3,22.6,0.731516457,185.79
Texas,Lamar,306,49625,0.986928105,0.013071895,0,19.1,0,0.891372329,500.49
Texas,Lamar,11,13560,1,0,0,37.1,0,0.891372329,932.47
Vermont,Lamb,122,25135,0.967213115,0.032786885,0,,,0.821290173,1017.73
North Dakota,Lamoille,60,4110,0.9,0.1,0,74.4,0,0.933551831,463.75
Texas,LaMoure,91,20355,1,0,0,53.7,0,0.891372329,1150.81
Nebraska,Lampasas,608,301705,0.950657895,0.049342105,1,111.9,33.7,0.899117407,713.96
Pennsylvania,Lancaster,750,533110,0.837333333,0.162666667,1,135.1,44.4,0.714875343,846.71
South Carolina,Lancaster,181,83705,0.806629834,0.193370166,0,42.3,0,0.812866638,983.81
Virginia,Lancaster,8,11055,1,0,0,,,0.884284057,555.29
Nevada,Lancaster,21,5905,1,0,0,52,52,0.873795386,231.35
Kansas,Lander,25,1685,1,0,0,28.3,0,0.883778315,5519.47
Oregon,Lane,999,360275,0.97997998,0.02002002,1,231.4,102.2,0.897757095,717.43
Wisconsin,Lane,77,19415,0.818181818,0.181818182,0,,,0.833592818,4721.79
Georgia,Langlade,28,10380,1,0,,6.9,0,0.967672415,887.88
Michigan,Lanier,161,88310,0.894409938,0.105590062,0,37.2,24.1,0.771767308,199.83
Indiana,Lapeer,226,110995,0.977876106,0.022123894,0,185.4,63.5,0.92512153,663.08
Wyoming,LaPorte,250,96460,0.904,0.096,0,219.1,0,0.803817764,613.04
Colorado,Laramie,543,325230,0.963167587,0.036832413,0,99.1,0,0.78095535,2687.63
Kentucky,Larimer,54,14125,0.925925926,0.074074074,0,4.5,3,0.920222177,2633.86
Colorado,Larue,205,14320,0.87804878,0.12195122,0,136.6,60.7,0.78095535,263.72
Illinois,Las Animas,529,111935,0.913043478,0.086956522,0,166.6,25.5,0.807663106,4775.42
Louisiana,LaSalle,206,14925,0.946601942,0.053398058,0,13.4,0,0.743835895,1148.04
California,Lassen,107,31945,0.91588785,0.08411215,0,161,0,0.58749769,4720.37
Idaho,Latah,114,38595,0.947368421,0.052631579,0,19,0,0.968883613,1076.89
Oklahoma,Latimer,199,10645,0.989949749,0.010050251,0,35.4,0,0.629165553,729.12
Alabama,Lauderdale,265,92640,0.928301887,0.071698113,0,16.2,0,0.880672042,718.78
Mississippi,Lauderdale,489,79235,0.940695297,0.059304703,1,102.1,30.2,0.731516457,715.28
Tennessee,Lauderdale,266,27260,0.936090226,0.063909774,0,26,26,0.945988112,507.14
Kentucky,Laurel,136,59950,0.875,0.125,0,27.6,0,0.920222177,443.74
Georgia,Laurens,176,47800,0.897727273,0.102272727,0,49,0,0.967672415,818.51
South Carolina,Laurens,260,66440,0.95,0.05,0,93.3,0,0.812866638,723.98
Texas,Lavaca,262,19655,0.984732824,0.015267176,0,24.9,0,0.891372329,970.35
Alabama,Lawrence,214,33435,0.96728972,0.03271028,0,27.8,0,0.880672042,718.07
Arkansas,Lawrence,127,16915,0.937007874,0.062992126,0,62.4,23.1,0.796760502,592.34
Illinois,Lawrence,178,16580,0.848314607,0.151685393,0,21.3,0,0.807663106,373.94
Indiana,Lawrence,165,45695,0.933333333,0.066666667,0,25,0,0.92512153,452.07
Kentucky,Lawrence,103,15870,0.922330097,0.077669903,,36.8,0,0.920222177,420.12
Mississippi,Lawrence,138,12605,0.891304348,0.108695652,0,35.7,0,0.731516457,435.73
Missouri,Lawrence,231,38205,0.943722944,0.056277056,0,54.8,0,0.753229107,613.38
Ohio,Lawrence,276,61505,0.891304348,0.108695652,0,18.3,0,0.834323878,457.28
Pennsylvania,Lawrence,264,88530,0.825757576,0.174242424,0,69.3,3.9,0.714875343,362.76
South Dakota,Lawrence,129,24860,0.945736434,0.054263566,0,16.7,0,0.857210259,800.31
Tennessee,Lawrence,211,42405,0.985781991,0.014218009,0,41.1,0,0.945988112,617.91
Oklahoma,Le Flore,461,49885,0.928416486,0.071583514,0,102.7,0,0.629165553,1608.03
Minnesota,Le Sueur,68,27650,0.955882353,0.044117647,0,29.8,0,0.850650597,473.86
New Mexico,Lea,10,68930,1,0,1,82,0,0.698534578,4394.02
Mississippi,Leake,206,23010,0.932038835,0.067961165,0,,,0.731516457,585.39
Kansas,Leavenworth,240,78785,0.983333333,0.016666667,0,34.3,0,0.883778315,468.33
Pennsylvania,Lebanon,220,136950,0.881818182,0.118181818,0,22.6,0,0.714875343,362.6
Alabama,Lee,214,153945,0.953271028,0.046728972,0,60.5,0,0.880672042,615.55
Arkansas,Lee,98,9780,0.93877551,0.06122449,0,19.4,0,0.796760502,619.47
Florida,Lee,383,680970,0.997389034,0.002610966,1,35.7,22.2,0.882151679,1211.89
Georgia,Lee,33,29135,1,0,0,25.8,0,0.967672415,362.01
Illinois,Lee,369,34720,0.899728997,0.100271003,0,46.4,0,0.807663106,729.29
Iowa,Lee,218,35170,0.876146789,0.123853211,0,61,19.8,0.906330826,538.77
Kentucky,Lee,43,6895,0.953488372,0.046511628,,32.9,0,0.920222177,211.22
Mississippi,Lee,381,85280,0.973753281,0.026246719,1,52.7,0,0.731516457,453.14
North Carolina,Lee,95,59540,0.957894737,0.042105263,0,47.2,22.5,0.890560355,259.33
South Carolina,Lee,94,18190,0.872340426,0.127659574,0,10.7,0,0.812866638,411.3
Texas,Lee,139,16755,1,0,0,35.9,0,0.891372329,634.03
Virginia,Lee,152,24910,0.907894737,0.092105263,0,68.4,0,0.884284057,437.32
Michigan,Leelanau,7,21765,1,0,0,,,0.771767308,2532.38
Mississippi,Leflore,139,30500,0.935251799,0.064748201,0,52.4,33.8,0.731516457,606.35
Pennsylvania,Lehigh,378,358790,0.857142857,0.142857143,1,54.2,1.8,0.714875343,348.34
Idaho,Lemhi,109,7745,0.917431193,0.082568807,0,,,0.968883613,4569.5
Michigan,Lenawee,224,98675,0.9375,0.0625,0,65.6,0,0.771767308,761.31
North Carolina,Lenoir,131,58345,0.93129771,0.06870229,0,25.6,0,0.890560355,402.09
Florida,Leon,157,284790,0.968152866,0.031847134,1,34.2,0,0.882151679,701.78
Texas,Leon,164,16925,0.987804878,0.012195122,0,77.1,0,0.891372329,1080.38
Kentucky,Leslie,111,10870,0.675675676,0.324324324,0,,,0.920222177,404.36
Kentucky,Letcher,159,23380,0.855345912,0.144654088,0,34.9,0,0.920222177,339.12
Florida,Levy,76,39705,0.907894737,0.092105263,0,19.3,0,0.882151679,1412.32
Montana,Lewis,207,65990,0.927536232,0.072463768,1,81.7,0,0.880305656,479.81
Idaho,Lewis,14,3825,0.928571429,0.071428571,0,1.6,0,0.968883613,495.7
Kentucky,Lewis,143,13645,0.944055944,0.055944056,,41.6,41.6,0.920222177,510.85
Missouri,Lewis,167,10145,0.910179641,0.089820359,0,21.8,0,0.753229107,1289.89
New York,Lewis,168,27105,0.785714286,0.214285714,0,47.6,0,0.746636286,282.48
Tennessee,Lewis,134,11905,0.970149254,0.029850746,0,11,0,0.945988112,2436.26
Washington,Lewis,402,75725,0.967661692,0.032338308,0,76.1,45,0.710608062,389.75
West Virginia,Lewis and Clark,160,16420,0.75625,0.24375,0,14.6,0,0.694866631,3497.56
Virginia,Lexington,9,7035,0.888888889,0.111111111,0,,,0.884284057,757.88
South Carolina,Lexington,232,277700,0.875,0.125,1,85.7,22.9,0.812866638,2.49
Florida,Liberty,77,8285,0.87012987,0.12987013,,36.6,0,0.882151679,843.16
Georgia,Liberty,95,63950,1,0,0,33.6,17.2,0.967672415,602.52
Montana,Liberty,10,2290,0.9,0.1,0,26.2,26.2,0.880305656,1447.19
Texas,Liberty,194,78600,0.979381443,0.020618557,0,112.8,35.2,0.891372329,1176.22
Ohio,Licking,455,169760,0.87032967,0.12967033,0,62.7,0,0.834323878,688.38
Alabama,Limestone,311,90255,0.971061093,0.028938907,0,42.1,0,0.880672042,607.08
Texas,Limestone,282,23470,0.936170213,0.063829787,0,35.1,0,0.891372329,933.15
Arkansas,Lincoln,110,13935,0.972727273,0.027272727,0,13.6,0,0.796760502,572.17
Colorado,Lincoln,138,5515,0.898550725,0.101449275,0,71.3,0,0.78095535,2586.39
Georgia,Lincoln,32,7710,1,0,0,,,0.967672415,257.28
Idaho,Lincoln,53,5290,0.79245283,0.20754717,0,49.2,0,0.968883613,1205.86
Kansas,Lincoln,238,3135,0.903361345,0.096638655,0,35.9,0,0.883778315,719.94
Kentucky,Lincoln,136,24425,0.948529412,0.051470588,0,24,0,0.920222177,336.47
Maine,Lincoln,60,34165,0.883333333,0.116666667,0,28.8,0,0.776837947,472.27
Minnesota,Lincoln,105,5795,0.847619048,0.152380952,0,23.3,0,0.850650597,699.81
Mississippi,Lincoln,391,34690,0.823529412,0.176470588,0,51.3,24,0.731516457,548.44
Missouri,Lincoln,181,54285,0.950276243,0.049723757,0,21.1,0,0.753229107,588.17
Montana,Lincoln,189,19270,0.851851852,0.148148148,0,129,104.4,0.880305656,640.41
Nebraska,Lincoln,197,35775,0.939086294,0.060913706,1,143,0,0.899117407,3675.11
Nevada,Lincoln,20,5155,1,0,0,105.5,0,0.873795386,2575.1
New Mexico,Lincoln,132,19725,0.96969697,0.03030303,0,74.4,0,0.698534578,10636.77
North Carolina,Lincoln,154,79785,0.928571429,0.071428571,0,29.8,0,0.890560355,4831.25
Oklahoma,Lincoln,491,34640,0.765784114,0.234215886,0,35.8,0,0.629165553,307.03
Oregon,Lincoln,188,46685,0.920212766,0.079787234,0,33.9,0,0.897757095,965.62
South Dakota,Lincoln,199,51395,0.748743719,0.251256281,0,42.4,0,0.857210259,1193.79
Tennessee,Lincoln,301,33580,0.973421927,0.026578073,0,6.2,0,0.945988112,578.59
Washington,Lincoln,177,10325,0.926553672,0.073446328,0,154.9,81.6,0.710608062,570.63
West Virginia,Lincoln,116,21480,0.74137931,0.25862069,0,42.4,0,0.694866631,2339.71
Wisconsin,Lincoln,156,28170,0.942307692,0.057692308,0,48.7,0,0.833592818,438.59
Wyoming,Lincoln,130,18545,0.930769231,0.069230769,0,119.3,0,0.803817764,907.05
Louisiana,Lincoln,178,47480,0.814606742,0.185393258,0,27.2,0,0.743835895,4089.01
Iowa,Linn,485,218075,0.956701031,0.043298969,1,105.5,0,0.906330826,724.55
Kansas,Linn,253,9525,0.976284585,0.023715415,0,46.4,0,0.883778315,606.29
Missouri,Linn,323,12320,0.866873065,0.133126935,0,37.8,10,0.753229107,621.46
Oregon,Linn,561,119860,0.821746881,0.178253119,0,145.7,36,0.897757095,2310.15
Texas,Lipscomb,39,3505,0.974358974,0.025641026,0,11.1,0,0.891372329,932.22
Connecticut,Litchfield,456,185140,0.914473684,0.085526316,0,66.5,16,0.649393876,944.57
Arkansas,Little River,86,12615,0.906976744,0.093023256,0,85.4,0,0.796760502,564.87
Texas,Live Oak,219,11975,0.98173516,0.01826484,0,47.3,0,0.891372329,1078.83
Illinois,Livingston,583,37280,0.888507719,0.111492281,0,117,29.6,0.807663106,1045.43
Kentucky,Livingston,105,9355,0.971428571,0.028571429,0,3.2,0,0.920222177,342.2
Michigan,Livingston,163,185840,0.871165644,0.128834356,0,57.5,0,0.771767308,702.84
Missouri,Livingston,189,15055,0.814814815,0.185185185,0,49.6,0,0.753229107,585.43
New York,Livingston,162,64620,0.944444444,0.055555556,0,57.2,0,0.746636286,538.48
Louisiana,Livingston,255,135925,0.91372549,0.08627451,0,24.4,0,0.743835895,640.44
Texas,Llano,84,19625,1,0,0,20.1,0,0.891372329,966.18
Arkansas,Logan,153,21935,0.934640523,0.065359477,0,,,0.796760502,731.5
Colorado,Logan,182,21860,0.917582418,0.082417582,0,111.1,0,0.78095535,1844.86
Illinois,Logan,291,29820,0.89347079,0.10652921,0,78,27.2,0.807663106,619.01
Kansas,Logan,55,2800,0.981818182,0.018181818,0,40,0,0.883778315,1073.09
Kentucky,Logan,133,26755,0.984962406,0.015037594,0,38.3,0,0.920222177,557.1
Nebraska,Logan,4,830,1,0,0,,,0.899117407,571.15
North Dakota,Logan,13,1940,0.923076923,0.076923077,0,44.1,0,0.933551831,1011.07
Ohio,Logan,289,45390,0.98615917,0.01384083,0,52.6,0,0.834323878,466.78
Oklahoma,Logan,300,45170,0.743333333,0.256666667,0,33.5,0,0.629165553,748.92
West Virginia,Logan,234,35165,0.794871795,0.205128205,0,86.5,0,0.694866631,455.61
Georgia,Long,47,17245,1,0,,13.4,13.4,0.967672415,403.49
Arkansas,Lonoke,185,71280,0.951351351,0.048648649,0,13.4,13.4,0.796760502,802.43
Ohio,Lorain,379,304090,0.894459103,0.105540897,0,138,27.1,0.834323878,923.02
New Mexico,Los Alamos,3,17895,0.666666667,0.333333333,0,,,0.698534578,109.35
California,Los Angeles,3538,10057155,0.962690786,0.037309214,3,509.2,245,0.58749769,4752.32
Tennessee,Loudon,113,50635,0.96460177,0.03539823,0,26.4,0,0.945988112,247.31
Virginia,Loudoun,404,362435,0.982673267,0.017326733,1,,,0.884284057,521.1
Iowa,Louisa,150,11250,0.886666667,0.113333333,,19.4,0,0.906330826,417.64
Virginia,Louisa,93,34350,0.967741935,0.032258065,0,41.1,2.4,0.884284057,510.79
Nebraska,Loup,20,540,0.9,0.1,,,,0.899117407,571.02
Oklahoma,Love,131,9770,0.961832061,0.038167939,0,24.8,24.8,0.629165553,531.94
Texas,Loving,4,75,1,0,,,,0.891372329,676.85
Alabama,Lowndes,157,10565,0.987261146,0.012738854,0,46.7,0,0.880672042,725.03
Georgia,Lowndes,132,113900,0.954545455,0.045454545,1,96.1,0,0.967672415,510.63
Mississippi,Lowndes,245,59785,0.987755102,0.012244898,1,93.6,0,0.731516457,516.45
Texas,Lubbock,235,294680,0.982978723,0.017021277,1,109.7,0,0.891372329,900.7
Iowa,Lucas,195,8700,0.671794872,0.328205128,0,51.5,31.1,0.906330826,434.17
Ohio,Lucas,406,434800,0.965517241,0.034482759,1,112.4,31.9,0.834323878,595.88
Michigan,Luce,28,6450,0.821428571,0.178571429,0,30.7,0,0.771767308,1911.89
Georgia,Lumpkin,51,31095,0.980392157,0.019607843,0,,,0.967672415,284.87
New Mexico,Luna,107,24625,0.990654206,0.009345794,0,118.9,55.4,0.698534578,2965.28
Virginia,Lunenburg,89,12450,0.921348315,0.078651685,0,5.9,0,0.884284057,432.38
Pennsylvania,Luzerne,436,318915,0.733944954,0.266055046,1,142.7,0,0.714875343,907.13
Pennsylvania,Lycoming,471,116315,0.93418259,0.06581741,1,64.7,0,0.714875343,1243.77
South Dakota,Lyman,115,3855,0.895652174,0.104347826,0,,,0.857210259,1707.06
Virginia,Lynchburg,89,78755,0.93258427,0.06741573,0,37.6,12.9,0.884284057,49.76
Texas,Lynn,5,5725,1,0,0,3.9,0,0.891372329,893.46
Iowa,Lyon,278,11730,0.78057554,0.21942446,0,21.6,0,0.906330826,587.63
Kansas,Lyon,490,33400,0.975510204,0.024489796,0,37.1,25,0.883778315,855.14
Kentucky,Lyon,80,8325,0.975,0.025,,14.9,0,0.920222177,256.42
Minnesota,Lyon,235,25670,0.974468085,0.025531915,0,63.9,0,0.850650597,721.46
Nevada,Lyon,53,51895,0.924528302,0.075471698,0,54.4,10.9,0.873795386,2016.4
Michigan,Mackinac,64,11000,0.90625,0.09375,0,40,0,0.771767308,2100.55
Michigan,Macomb,412,859705,0.912621359,0.087378641,0,45.1,0,0.771767308,569.78
Alabama,Macon,177,19685,0.870056497,0.129943503,0,26.4,0,0.880672042,613.24
Georgia,Macon,78,13845,0.948717949,0.051282051,0,44.7,0,0.967672415,405.95
Illinois,Macon,346,108405,0.852601156,0.147398844,1,120.8,0,0.807663106,585.38
Missouri,Macon,290,15400,0.951724138,0.048275862,0,69.9,26.6,0.753229107,812.53
North Carolina,Macon,212,33990,0.830188679,0.169811321,0,1.5,1.5,0.890560355,519.47
Tennessee,Macon,168,22925,0.982142857,0.017857143,0,,,0.945988112,307.19
Illinois,Macoupin,245,46480,0.865306122,0.134693878,0,109.8,41,0.807663106,867.61
California,Madera,241,153365,0.846473029,0.153526971,0,59.3,26.5,0.58749769,2153.32
Alabama,Madison,690,349975,0.97826087,0.02173913,1,52.5,4.8,0.880672042,812.85
Arkansas,Madison,148,15760,0.783783784,0.216216216,0,,,0.796760502,837.06
Florida,Madison,59,18560,0.983050847,0.016949153,0,60.7,0,0.882151679,715.8
Georgia,Madison,73,28360,0.945205479,0.054794521,,19.3,0,0.967672415,285.57
Idaho,Madison,72,38115,0.944444444,0.055555556,0,31.8,0,0.968883613,473.36
Illinois,Madison,520,266760,0.936538462,0.063461538,0,182,27,0.807663106,740.35
Indiana,Madison,297,129860,0.976430976,0.023569024,0,82.3,0,0.92512153,452.91
Iowa,Madison,225,15660,0.626666667,0.373333333,0,8.4,0,0.906330826,562.3
Kentucky,Madison,157,87325,0.942675159,0.057324841,0,28,0,0.920222177,443.11
Mississippi,Madison,322,101790,0.913043478,0.086956522,0,35.1,8.8,0.731516457,650.53
Missouri,Madison,117,12405,0.871794872,0.128205128,0,,,0.753229107,741.97
Montana,Madison,91,7810,0.923076923,0.076923077,0,32.5,0,0.880305656,497.6
Nebraska,Madison,296,35125,0.942567568,0.057432432,0,25.7,0,0.899117407,3602.85
New York,Madison,173,72090,0.861271676,0.138728324,0,25.2,13.8,0.746636286,575.05
North Carolina,Madison,239,21130,0.815899582,0.184100418,0,28.3,0,0.890560355,661.54
Ohio,Madison,190,43535,0.905263158,0.094736842,0,27.3,0,0.834323878,451.59
Tennessee,Madison,423,98130,0.95035461,0.04964539,1,64.9,0,0.945988112,466.18
Texas,Madison,84,13845,0.988095238,0.011904762,0,13.8,0,0.891372329,558.63
Virginia,Madison,79,13120,0.987341772,0.012658228,0,,,0.884284057,472.44
Louisiana,Madison,108,11805,0.898148148,0.101851852,0,44.3,0,0.743835895,321.78
Kentucky,Magoffin,102,12885,0.950980392,0.049019608,,13.7,0,0.920222177,309.44
Iowa,Mahaska,235,22325,0.676595745,0.323404255,0,25.5,0,0.906330826,573.4
Minnesota,Mahnomen,41,5480,0.853658537,0.146341463,0,26.9,0,0.850650597,582.99
Ohio,Mahoning,368,233015,0.948369565,0.051630435,0,72.7,10,0.834323878,423.38
